class,class label,class definition,instance,instance label,instance description,classification,rationale
http://caligraph.org/ontology/Argentine_football_manager,Argentine football manager,"""Argentine Football Manager"" (noun) 

A professional individual from Argentina who oversees and directs the operational and strategic aspects of a football team. This includes managing players and team staff, planning and conducting training sessions, devising match strategies, and making decisions on team selection. They may work at various levels of football, from local clubs to national teams. Their role is critical in the development of the team and the achievement of its sporting objectives.",http://caligraph.org/resource/H%C3%A9ctor_Gabriel_Morales,Héctor Gabriel Morales,"Héctor Gabriel Morales (born November 30, 1989) is an Argentine professional footballer and manager. He was born in Corrientes, Argentina, and is notable for his career as a player in several football clubs, both local and international. He has played as a forward and midfielder for teams such as Ferencvárosi TC, Boca Unidos, Club Atlético Villa San Carlos, Estudiantes de La Plata, and C.D. Victoria. Aside from his playing career, Morales also made his mark as a manager, particularly for the club Barcelona S.C. He has spent some of his professional career in Honduras, making him a recognized foreign player in the Honduran Liga Nacional. Morales also played in Hungary, both for Ferencvárosi TC and as an expatriate. Standing at 1.76 meters tall, Morales has also made significant contributions to the 2010-2011 season of Ferencvárosi TC as a manager.",positive,"Héctor Gabriel Morales fits the definition of an Argentine football manager as he is a professional individual from Argentina who has overseen and directed the operational and strategic aspects of a football team. This is evident from his role as a manager for the club Barcelona S.C. His responsibilities likely included managing players and team staff, planning and conducting training sessions, devising match strategies, and making decisions on team selection. His role as a manager was critical in the development of the team and the achievement of its sporting objectives. Therefore, based on the provided definition and information, Héctor Gabriel Morales can be classified as an Argentine football manager."
http://caligraph.org/ontology/Single-camera_television_sitcom,Single-camera television sitcom,"""Single-camera television sitcom"" is a term referring to a specific production style of television programs, particularly sitcoms, where filming is conducted using a single camera set up. Unlike multi-camera television sitcoms that use multiple cameras filming from different angles simultaneously, a single-camera setup captures one shot at a time from varying angles. This style is often used to create a more cinematic, detailed, and visually appealing look, allowing for greater creative control over the visual elements. It is commonly used in sitcoms that aim for a more realistic, dramatic, and high-quality aesthetic. However, it may require more time and budget for production due to the necessary adjustments for each shot.",http://caligraph.org/resource/Clueless_(TV_series),Clueless (TV series),"""Clueless (TV series)"" is a live-action television show based on the film of the same name. It is a comedy television series that was originally broadcast by the American Broadcasting Company and later changed networks. The show was created by Amy Heckerling and directed by Neal Israel, Joanna Kerns, and Rusty Cundieff. The series, distributed by Paramount Domestic Television, was also aired by other networks such as MTV (Canada), TeenNick, TVNorge, Comedy Central (British TV channel), Nickelodeon (British and Irish TV channel), MBC 4, RTÉ 2, and TV5 (Philippine TV network). 

The show, which falls under the genres of sitcom and teen sitcom, had a total of three seasons with 62 episodes. It starred actors such as Twink Caplan, Elisa Donovan, Rachel Blanchard, Donald Faison, Doug Sheehan, Michael Lerner, Stacey Dash, Wallace Shawn, and David Lascher. The series was released on September 20, 1996, and concluded on May 25, 1999. The opening theme of the show was performed by China Forbes and the series was composed by David Kitay.",negative,"The provided description of ""Clueless (TV series)"" does not include any specific information about the production style or the number of cameras used during filming. Therefore, based on the information given, it is not possible to assert that ""Clueless (TV series)"" is a single-camera television sitcom."
http://caligraph.org/ontology/Single-camera_television_sitcom,Single-camera television sitcom,"""Single-camera television sitcom"" is a term referring to a specific production style of television programs, particularly sitcoms, where filming is conducted using a single camera set up. Unlike multi-camera television sitcoms that use multiple cameras filming from different angles simultaneously, a single-camera setup captures one shot at a time from varying angles. This style is often used to create a more cinematic, detailed, and visually appealing look, allowing for greater creative control over the visual elements. It is commonly used in sitcoms that aim for a more realistic, dramatic, and high-quality aesthetic. However, it may require more time and budget for production due to the necessary adjustments for each shot.",http://caligraph.org/resource/Community_(TV_series),Community (TV series),"""Community"" is an American comedy television series that aired from September 17, 2009, to June 2, 2015, with a total of six seasons and 110 episodes. The series is known for its unique blend of comedy genres, incorporating elements of situation comedy, mockumentary, and metafiction. It was created by Dan Harmon and featured an ensemble cast including Joel McHale, Gillian Jacobs, Danny Pudi, Yvette Nicole Brown, Alison Brie, Donald Glover, Ken Jeong, Chevy Chase, and Jim Rash. 

The series was filmed in Los Angeles at the Radford Studio Center and was broadcasted by various networks including NBC, Citytv, MBC 4, and Yahoo! Screen. It also had a significant online presence as a web series. The show's music was composed by Ludwig Göransson, and its opening theme was by The 88. 

The series was executive produced by a team including Dan Harmon, Neil Goldman and Garrett Donovan, Tristram Shapeero, the Russo brothers, Rob Schrab, and Chris McKenna. It was distributed by Sony Pictures Television and formatted in High-definition television and Dolby Digital. 

""Community"" was a critical success and developed a cult following. It was notable for its meta-humor and pop culture references, and for its innovative use of mixed media formats including clay animation. The series was also known for its phrase ""Six seasons and a movie,"" a goal that became a rallying cry for fans during periods of uncertain renewal.",negative,"The description of ""Community"" does not provide specific information about the production style used in filming the series. It does not mention whether a single-camera or multi-camera setup was used. Therefore, based on the information provided, it cannot be definitively argued that ""Community"" is a single-camera television sitcom."
http://caligraph.org/ontology/State_leader_in_2014,State leader in 2014,"""State leader in 2014"" refers to an individual who held the highest position of power or authority in a sovereign state for some or all of the year 2014. This individual could be a president, prime minister, monarch, or other official depending on the form of government in the particular state. The role of the state leader typically includes making key policy decisions, overseeing the function of the state, and representing the state in national or international affairs. The specific powers and responsibilities of the state leader can vary widely from one country to another, and may be subject to limitations imposed by the country's constitution or other laws.",http://caligraph.org/resource/Joyce_Banda,Joyce Banda,"Joyce Banda (born Joyce Hilda Ntila on 12 April 1950 in Malemia, Zomba, Nyasaland, now Malawi) is a distinguished Malawian woman in politics and a Malawian feminist. She is a prominent figure in Africa, known as the first woman to hold political office in the continent. She served as the President of Malawi, making her one of the few women presidents in Africa. Banda was also elected as a female head of state, head of government, and deputy head of state. She served as a foreign minister from 2006 to 2009 and was a vice president. Banda was a dignitary at the state funeral and memorial service of Nelson Mandela. She is a Chewa by ethnicity and was named among the BBC 100 Women. She is affiliated with the Democratic Progressive Party, People's Party and United Democratic Front in Malawi. Banda is married to Richard Banda and studied at Columbus University, Louisiana, Atlantic International University, and Royal Roads University.",negative,"The definition of a ""State leader in 2014"" refers to an individual who held the highest position of power or authority in a sovereign state for some or all of the year 2014. This individual could be a president, prime minister, monarch, or other official depending on the form of government in the particular state. The description of Joyce Banda indicates that she served as the President of Malawi, which is a sovereign state. Therefore, given that she held the highest position of power in Malawi, she fits the definition of a ""State leader in 2014"". However, the description does not specify the exact years of her presidency, so it is not definitively clear from the provided information alone whether she was a state leader specifically in the year 2014."
http://caligraph.org/ontology/Hill_station_in_India,Hill station in India,"Hill Station in India (noun):

1. A town or city located at a higher elevation than the nearby plain or valley, especially in India. 
2. Known for their cooler climates, these places are often used as retreats from the heat during the summer months, and as a result, they have become popular tourist destinations. 
3. They were established by the British during their rule in India primarily for their own use during the summer, as a place of refuge from the heat of the plains. 
4. Hill stations in India are typically characterized by their lush greenery, tea and spice plantations, colonial architecture, and breathtaking mountain views. 
5. Examples of famous hill stations in India include Shimla, Darjeeling, Ooty, and Manali.",http://caligraph.org/resource/Ganjam_district,Ganjam district,"Ganjam district is a named individual and a hill station in India, specifically, a district of Odisha. It is also known by various other names including ""Ganjam dist"", ""Aska"", ""Ganjam"", and ""District of Ganjam"". The district has a total area of 8.0706E9 and is part of the country India. The residents of Ganjam district are referred to as ""Ganjami"". The district has a population density of 429.0 and a total population of 3529031, which ranks first in comparison to other districts. The postal code of the district is either 761 xxx or 760 xxx and it falls under the Indian Standard Time zone with a UTC offset of +5:30. Ganjam district is a subdivision of Odisha, and it includes several other subdivisions such as Bishwanath Das, Ranjhalli, Bandhaguda, Khallikote, and Digapahandi, among others. Many notable people, including Upendra Bhanja, Puroshottam Choudhary, Sisir Mishra, Geoff Pitchford, and Pramila Bisoyi, were born in Ganjam district. The district is also the residence of Madhaba Nanda Behera. The information about Ganjam district is derived from various sources including the list of districts of Odisha, Hinduism in Odisha, and the list of hill stations in India.",negative,"The text does not provide sufficient information to argue that Ganjam district is a hill station in India. While it is mentioned that Ganjam district is a district in Odisha, India, there is no information provided about its elevation, climate, or characteristics that would classify it as a hill station according to the provided definition. The definition of a hill station in India includes being located at a higher elevation than the nearby plain or valley, having a cooler climate, being established by the British during their rule in India, and being characterized by lush greenery, tea and spice plantations, colonial architecture, and breathtaking mountain views. None of these characteristics are mentioned in the description of Ganjam district. Therefore, based on the provided information, it cannot be argued that Ganjam district is a hill station in India."
http://caligraph.org/ontology/Newspaper_in_New_South_Wales,Newspaper in New South Wales,"Newspaper in New South Wales

Noun

A printed or digital publication that is periodically released, often daily or weekly, in the state of New South Wales, Australia. This publication contains a variety of content including news, features, opinions, and advertisements, primarily focusing on events and issues within New South Wales, but also covering national and international news. Examples include The Sydney Morning Herald, The Daily Telegraph, and The Australian.",http://caligraph.org/resource/Dubbo,Dubbo,"Dubbo is a city in Australia, specifically in New South Wales. It is characterized as a town or city in Australia, a college town, a town in the Central West of New South Wales, and a country rugby league club in New South Wales. The city has a population of 43,516. Notably, it is also the birthplace of numerous individuals including Tony Lawler, Pat Crawford, David Peachey, Luke Quigley, and many others. It is also the location of numerous entities, such as the Macquarie River railway bridge, the Milestone Hotel, and the Apex Oval. Several organizations, including the Daily Liberal and Air Link, have their headquarters in Dubbo. The city is also known for its Royal Australian Air Force installation and for being a place in New South Wales.",negative,"Based on the provided definitions, it is not possible to argue that Dubbo is a Newspaper in New South Wales. Dubbo is described as a city in New South Wales, Australia, not a printed or digital publication that is periodically released. While it is mentioned that the Daily Liberal, a newspaper, has its headquarters in Dubbo, this does not make the city itself a newspaper. Therefore, according to the given definitions, Dubbo cannot be classified as a Newspaper in New South Wales."
http://caligraph.org/ontology/Newspaper_in_New_South_Wales,Newspaper in New South Wales,"Newspaper in New South Wales

Noun

A printed or digital publication that is periodically released, often daily or weekly, in the state of New South Wales, Australia. This publication contains a variety of content including news, features, opinions, and advertisements, primarily focusing on events and issues within New South Wales, but also covering national and international news. Examples include The Sydney Morning Herald, The Daily Telegraph, and The Australian.",http://caligraph.org/resource/Parramatta_Advertiser,Parramatta Advertiser,"The Parramatta Advertiser is a named individual and a newspaper published in Sydney, Australia. It is also known as dbr:Parramatta_Advertiser and has a preferred label of ""Parramatta Advertiser"". The format of the newspaper is tabloid and it is available both online and offline. The Parramatta Advertiser was founded on July 15, 1933 and its headquarters are located in Parramatta, Sydney, New South Wales, Australia. The newspaper is owned by NewsLocal and is categorized as a weekly newspaper. The Parramatta Advertiser was derived from the category Newspapers published in Sydney and from NewsLocal.",positive,"The Parramatta Advertiser fits the definition of a Newspaper in New South Wales as it is a publication that is periodically released, specifically on a weekly basis. It is published in the state of New South Wales, Australia, specifically in Parramatta, Sydney. The Parramatta Advertiser contains a variety of content, as is typical of newspapers, and is available in both printed and digital formats. Furthermore, it is a part of the category Newspapers published in Sydney, which is within New South Wales. Therefore, based on the provided definition and information, the Parramatta Advertiser can be classified as a Newspaper in New South Wales."
http://caligraph.org/ontology/Newspaper_in_New_South_Wales,Newspaper in New South Wales,"Newspaper in New South Wales

Noun

A printed or digital publication that is periodically released, often daily or weekly, in the state of New South Wales, Australia. This publication contains a variety of content including news, features, opinions, and advertisements, primarily focusing on events and issues within New South Wales, but also covering national and international news. Examples include The Sydney Morning Herald, The Daily Telegraph, and The Australian.",http://caligraph.org/resource/The_Free_Thought,The Free Thought,"""The Free Thought"" is a Ukrainian-language newspaper that was first published in 1949 in Sydney, Australia. It is a non-English language publication established by a Ukrainian publisher and is considered a significant establishment of 1949 in Australia. The newspaper's circulation is reported at 1,500 copies and it follows the ISO 216 format. The newspaper, also known as ""Vil'na dumka"" or ""Vil`na Dumka,"" was founded on July 10, 1949, and its headquarters are located in Lidcombe, New South Wales, Australia. Apart from Ukrainian, the newspaper also features content in English.",positive,"""The Free Thought"" fits the definition of a Newspaper in New South Wales as it is a periodically released publication, specifically in a Ukrainian language, that was first published in Sydney, Australia, which is located in New South Wales. The newspaper's headquarters are also located in New South Wales, specifically in Lidcombe. While the content language is primarily Ukrainian, it also features content in English, indicating a variety of content. Although the definition does not specify the language of the newspaper, it does not exclude non-English publications. Therefore, based on the provided definition and information about ""The Free Thought,"" it can be argued that ""The Free Thought"" is a Newspaper in New South Wales."
http://caligraph.org/ontology/Medalist_at_the_2019_Summer_Universiade,Medalist at the 2019 Summer Universiade,"""Medalist at the 2019 Summer Universiade"" refers to an individual athlete or team who, during the 2019 Summer Universiade sports event, achieved a top-three finish in their respective competition to earn a gold, silver, or bronze medal. The Universiade is an international multi-sport event, organized for university athletes by the International University Sports Federation (FISU). The Summer Universiade includes numerous sports, such as athletics, gymnastics, swimming, and various team sports. For the 2019 edition, the event was held in Naples, Italy.",http://caligraph.org/resource/Dean_Farris,Dean Farris,"Dean Farris is an American male swimmer, born on November 14, 1997, in Atlanta, Georgia, United States. He is known for his backstroke and freestyle swimming techniques. Farris has represented the United States at the Universiade, a worldwide university sports competition, where he won a gold medal and set a national record for the United States. He has been recognized as a 20th-century and 21st-century American person, indicating his significant contributions in the field of swimming. Farris has swum for the Harvard Crimson men's swimming team. His achievements and information have been cataloged on various lists and categories on Wikipedia, including ""United States records in swimming"" and ""Universiade gold medalists for the United States"".",negative,"The definition of a ""Medalist at the 2019 Summer Universiade"" is an individual athlete or team who achieved a top-three finish in their respective competition during the 2019 Summer Universiade sports event, earning a gold, silver, or bronze medal. The description of Dean Farris states that he represented the United States at the Universiade, where he won a gold medal. Although the specific year of the Universiade is not mentioned in the description, it can be inferred from the context that it refers to the 2019 Summer Universiade. Therefore, based on the provided definition and the information about Dean Farris, it can be argued that Dean Farris is a ""Medalist at the 2019 Summer Universiade""."
http://caligraph.org/ontology/Romania_international_rugby_union_player,Romania international rugby union player,"""Romania international rugby union player"" refers to a rugby union athlete who is recognized by the Romanian Rugby Federation as qualified to represent Romania in international rugby union matches and tournaments. This individual typically possesses a high level of skill and expertise in the sport, having met the selection criteria set forth by the governing body. Furthermore, they must either be of Romanian origin or have fulfilled the necessary residency requirements.",http://caligraph.org/resource/Piti_(footballer),Piti (footballer),"Piti (born 26 May 1981) is a Spanish footballer from Reus, Catalonia, who has played as a midfielder and forward for a number of teams including Real Zaragoza, Hércules CF, PAS Lamia 1964, Jamshedpur FC, CF Reus Deportiu, Ciudad de Murcia, AEL Limassol, Granada CF, Rayo Vallecano and Novelda CF. His career has seen him participate in both the Segunda División and La Liga in Spain, as well as the Super League Greece and the Cypriot First Division. Piti has also been a part of the Catalonia national football team. Throughout his career, Piti has been involved in several transfer seasons, including in the summer of 2013 and winter of 2016-17. He has lived and played football in various countries, including India, Greece, and Cyprus, making him a notable Spanish expatriate sportsperson. His height is 1.74 meters.",negative,"There is no information provided in the description of Piti (footballer) that would suggest he is a Romania international rugby union player. The description does not mention any involvement in rugby, let alone at an international level for Romania. Instead, it details his career as a professional footballer in various countries. Therefore, based on the provided information, it is not possible to argue that Piti (footballer) is a Romania international rugby union player."
